sample	amp_chr_1p_NOTCH2	amp_chr_1q_CKS1B	amp_chr_2p	amp_chr_2q	amp_chr_3p	amp_chr_3q	amp_chr_4p	amp_chr_4q	amp_chr_5p	amp_chr_5q	amp_chr_6p	amp_chr_6q	amp_chr_7p	amp_chr_7q	amp_chr_8p	amp_chr_8q_MYC	amp_chr_8q_MYC_enhancer	amp_chr_9p	amp_chr_9q	amp_chr_10p	amp_chr_10q	amp_chr_11p	amp_chr_11q_CCND1	amp_chr_12p	amp_chr_12q	amp_chr_13q	amp_chr_14q	amp_chr_15q	amp_chr_16p	amp_chr_16q	amp_chr_17p	amp_chr_17q	amp_chr_18p	amp_chr_18q	amp_chr_19p	amp_chr_19q	amp_chr_20p	amp_chr_20q	amp_chr_21q	amp_chr_22q	del_chr_1p_CDKN2C	del_chr_1p_EVI5	del_chr_1p_TENT5C	del_chr_1q	del_chr_2p	del_chr_2q	del_chr_3p	del_chr_3q	del_chr_4p	del_chr_4q	del_chr_5p	del_chr_5q	del_chr_6p	del_chr_6q	del_chr_7p	del_chr_7q	del_chr_8p	del_chr_8q	del_chr_9p	del_chr_9q	del_chr_10p	del_chr_10q_NFKB2	del_chr_11p	del_chr_11q_BIRC2	del_chr_12p	del_chr_12q	del_chr_13q_RB1	del_chr_14q_MAX	del_chr_14q_TRAF3	del_chr_15q	del_chr_16p	del_chr_16q_CYLD	del_chr_17p_TP53	del_chr_17q	del_chr_18p	del_chr_18q	del_chr_19p	del_chr_19q	del_chr_20p	del_chr_20q	del_chr_21q	del_chr_22q
MMRF_1583_1_BM_CD138pos_pair	0	0	0.001	0.004	0	0.149	0.015	0.012	0.011	0	0.046	0	0	0	0	0	0	0.86	0.701	0	0	0	0	0	0	0	0	0	0	0.005	0	0	0	0	0	0	0.068	0.022	0	0	0	0.938	0.03	0.036	0	0	0.002	0	0	0	0	0.005	0	0.955	0.064	0.064	0.938	0.93	0	0	0.006	0	0.077	0.071	0.938	0.938	0.893	0.846	0	0.066	0.024	0	0.094	0.119	0.012	0.012	0.154	0.657	0	0	0.005	0.952
MMRF_1587_1_BM_CD138pos_pair	0	0.989	0	0	0	0	0.008	0	0	0	0	0	0	0	0.014	0.039	0.039	0	0	0	0	0.023	0.033	0	0.043	0	0	0	0.015	0.07	0	0	0.002	0.002	0	0	0.065	0.041	0.053	0	0	0.939	0.939	0	0.057	0.006	0.002	0.052	0	0.021	0.007	0.031	0.408	0.02	0.045	0.022	0	0	0.13	0.064	0.952	0.75	0	0.01	0.021	0	0.917	0.849	0.807	0.018	0	0	0.002	0.012	0	0	0.04	0.031	0	0	0	0.937
MMRF_1588_1_BM_CD138pos_pair	0.001	0.005	0	0	1	1	0	0	1	1	0	0.003	1	1	0	0.004	0.004	1	1	0	0	1	1	0	0	0	0	1	0	0	1	1	0	0	1	1	0	0	0.003	0	0	0	0	0.003	0.004	0.006	0	0	0.007	0	0	0	0.003	0	0	0	0.133	0.004	0	0	0.008	0	0	0	0.035	0.006	0	0	0	0	0.019	0.015	0	0	0.029	0.029	0	0	0.012	0.012	0	0.03
MMRF_1589_1_BM_CD138pos_pair	0.022	0.007	0.013	0.017	0	0	0.028	0.028	0.017	0.014	0.019	0	0	0	0	0	0	0.111	0.066	0.004	0.004	0.829	0.825	0	0	0.027	0	0	0.091	0.091	0	0	0.115	0.115	0.308	0.343	0.019	0	0	0	0	0	0	0	0	0	0.011	0.011	0	0	0	0	0	0.957	0.023	0.021	0.003	0.003	0	0	0	0	0	0	0.381	0.381	0	0.466	0.466	0.033	0	0	0.07	0.066	0	0	0	0	0	0.009	0	0.009
MMRF_1593_1_BM_CD138pos_pair	0	0	1	1	0.972	0.972	0	0	1	1	1	1	0.928	0.939	0.038	0	0	1	1	1	1	1	0.902	0.075	0.075	0.046	0.11	1	0.114	0.114	0.797	0.797	0.856	0.856	1	1	1	1	1	0	0.384	0.384	0.384	0	0	0	0	0	0.059	0.049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.926	0.862	0.862	0	0	0.858	0.175	0	0	0	0	0	0	0	0	0.032
MMRF_1595_1_BM_CD138pos_pair	0.033	0.168	0.093	0	0	0	0	0	0.241	0	0.003	0	0	0	0	0.525	0.634	0.042	0.042	0.008	0.008	0.011	0.007	0.017	0.017	0	0	0.008	0.002	0	0	0	0	0.01	0.039	0	0	0.094	0.496	0	0	0	0	0	0	0.009	0.004	1	0.077	0.22	0	0.115	0	0.005	0.015	0.006	1	0	0	0	0	0	0	0	0	0	0.984	0.88	0.875	0	0	1	0.945	0.99	0.015	0	0	0.195	0.378	0	0	0.234
MMRF_1596_1_BM_CD138pos_pair	0	0	0	0.002	0.014	0.014	0	0	0.98	0.973	0.014	0.012	0.015	0	0.008	0.011	0.011	0.474	0.77	0.213	0.213	0.834	1	0.03	0	0	0.033	1	0	0	0	0	0	0	0.869	0.89	0	0	0	0	0.977	0.977	0.977	0.049	0	0	0	0	0.034	0.034	0	0	0	0	0	0.098	0	0	0	0	0	0	0	0	0	0.966	0.93	0	0	0	0.037	1	1	0.165	0.01	0.01	0	0	0.977	0.001	0.029	0.986
MMRF_1597_1_BM_CD138pos_pair	0	0.015	0	0	0	0	0	0	0.956	0.836	0	0	0	0	0	0	0	0.907	0.755	0	0	0.426	0.86	0	0	0.019	0.008	0.929	0	0	0	0	0	0	0.874	0.888	0	0	0	0	0	0	0.976	0.034	0.011	0.014	0.033	0.079	0.029	0.025	0	0	0.004	0.033	0.474	0.033	0.032	0.032	0	0	0.095	0.064	0	0	0.262	0.262	0	0	0	0	0.007	0.97	0.044	0.112	0.025	0.025	0	0	0.499	0.028	0.038	0.186
MMRF_1598_1_BM_CD138pos_pair	0.017	0	0.027	0	0	0	0.002	0.002	0.002	0.002	0.006	0.011	0	0	0.003	0.005	0.005	0	0	0	0	0	0	0	1	0	0.007	0.005	0	0	0	0	0.002	0.002	0	0	0	0	1	1	0.004	0	0	0.004	0	0.002	0.011	0.007	0	0	0	0	0	0	0.004	0.002	0	0	0.009	0.016	0.014	0.005	0.007	0.015	1	0	1	0	0	0	0.025	0.014	0.009	0.031	0	0	0.033	0.03	0.006	0.006	0	0
MMRF_1601_1_BM_CD138pos_pair	0.002	0	0	0.002	0.155	0.146	0.002	0	0.162	0.162	0.01	0.01	0	0	0.014	0	0	0.138	0.138	0.001	0.001	0.139	0.122	0.006	0.007	0.021	0.004	0.145	0	0.013	0.146	0.128	0	0	0.139	0.137	0.007	0.009	0	0.017	0	0	0	0.002	0.001	0	0	0	0	0.001	0	0	0	0	0.012	0.01	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0.001	0	0	0	0.154	0.154	0	0	0	0	0.003	0
