sample	amp_chr_1p_NOTCH2	amp_chr_1q_CKS1B	amp_chr_2p	amp_chr_2q	amp_chr_3p	amp_chr_3q	amp_chr_4p	amp_chr_4q	amp_chr_5p	amp_chr_5q	amp_chr_6p	amp_chr_6q	amp_chr_7p	amp_chr_7q	amp_chr_8p	amp_chr_8q_MYC	amp_chr_8q_MYC_enhancer	amp_chr_9p	amp_chr_9q	amp_chr_10p	amp_chr_10q	amp_chr_11p	amp_chr_11q_CCND1	amp_chr_12p	amp_chr_12q	amp_chr_13q	amp_chr_14q	amp_chr_15q	amp_chr_16p	amp_chr_16q	amp_chr_17p	amp_chr_17q	amp_chr_18p	amp_chr_18q	amp_chr_19p	amp_chr_19q	amp_chr_20p	amp_chr_20q	amp_chr_21q	amp_chr_22q	del_chr_1p_CDKN2C	del_chr_1p_EVI5	del_chr_1p_TENT5C	del_chr_1q	del_chr_2p	del_chr_2q	del_chr_3p	del_chr_3q	del_chr_4p	del_chr_4q	del_chr_5p	del_chr_5q	del_chr_6p	del_chr_6q	del_chr_7p	del_chr_7q	del_chr_8p	del_chr_8q	del_chr_9p	del_chr_9q	del_chr_10p	del_chr_10q_NFKB2	del_chr_11p	del_chr_11q_BIRC2	del_chr_12p	del_chr_12q	del_chr_13q_RB1	del_chr_14q_MAX	del_chr_14q_TRAF3	del_chr_15q	del_chr_16p	del_chr_16q_CYLD	del_chr_17p_TP53	del_chr_17q	del_chr_18p	del_chr_18q	del_chr_19p	del_chr_19q	del_chr_20p	del_chr_20q	del_chr_21q	del_chr_22q
MMRF_2107_1_BM_CD138pos_pair	0.006	0	0.991	0.994	0.99	0.99	0	0	1	1	0.956	0.956	1	1	0	0.004	0.004	1	1	0	0	0.997	1	0	0	0	0.003	1	0	0	0.86	0.86	0	0	1	1	0	0	1	0.016	0	0	0	0.01	0	0	0	0	0.011	0.01	0	0	0	0	0	0	1	0.016	0	0	0.014	0.004	0	0	0.01	0.01	0	0	0	0	0.01	0	0	0	1	1	0	0	0.017	0	0	0
MMRF_2111_1_BM_CD138pos_pair	0.002	0	0.007	0.004	0.005	0.005	0.008	0.005	1	1	1	0.285	1	1	0	0.011	0.011	1	1	0.002	0.004	0.061	0.054	0.005	0.006	0	0.011	1	0	0	0	0	0	0	1	1	0	0	1	0	0.006	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.939	0	0	0	0	0	0	0	0	0	0.073	0	0	0	0.014	0.051	0.015	0.004	0	0	0	0	0.046	0.008	0	0.013
MMRF_2112_1_BM_CD138pos_pair	0	1	0.003	0.007	0.007	0	0	0.004	0.594	0.587	0.008	0	0	0.002	0	0	0.501	0.006	0.004	0.001	0.001	0	0	0	0	0	0	0.458	0	0	0	0	0.001	0.001	0.982	0.002	0.005	0.005	0	0	0.993	0.993	0.993	0	0	0	0	0	0.004	0	0	0	0	0.986	0.004	0	0.001	0	0	0	0	0	0.002	0.002	0.002	0.003	0.705	0.001	0	0	0.013	0.013	0.022	0.023	0	0	0	0	0	0	0.007	0.114
MMRF_2113_1_BM_CD138pos_pair	0	0.921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.98	0.972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0.004	0.004	0	0.011	0.008	0.011	0.013	0.005	0.005	0.006	0.006	0.002	0.002	0.007	0.007	0.009	0.009	0	0	0.012	0.004	0.013	0.004	0.006	0.006	0.983	0.974	0.974	0.009	0.042	0.033	0	0.009	0.011	0.011	0.008	0.001	0.016	0.016	0.989	0.008
MMRF_2115_1_BM_CD138pos_pair	0	0	0	0	0	0	0	0	0.997	0.343	0	0	0	0	0	0.026	0.026	0.975	0.967	0	0	0.971	0.977	0	0	0	0	0	0	0	0	0	0	0	1	0.911	0	0	0	0	0.977	0.977	0.977	0.028	0.01	0.146	0.005	0.001	0.016	0.988	0	0	0.024	0.995	0.009	0.036	1	0	0	0	0.013	0.008	0	0	1	1	0.971	0	0	0.026	1	1	0.012	0.036	0.006	0.006	0	0	0.978	0.042	0.01	0.062
MMRF_2116_1_BM_CD138pos_pair	0.008	0.009	0.009	0.011	1	1	0.002	0.002	1	1	0.004	0.004	1	1	0.011	0.008	0.008	1	1	0.014	0.014	1	1	0.003	0.003	0	0.01	1	0	0	0	0	0.013	0.013	1	1	0.003	0.001	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007	0	0	0	0.003	0.004	0.01	0.006	0	0	0	0	0	0	0	0.042
MMRF_2118_1_BM_CD138pos_pair	0	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007	0.007	0.003	0	0	0	0	0.007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.371	0	0	0	0.977	0.977	0.01	0.014	0.006	0.008	0.008	0.035	0	0.008	0.008	0.008	0.008	0.007	0.007	0.011	0.011	0	0.01	0.018	0	0.011	0	0.998	0.998	0.979	0.983	0.983	0.015	0.018	0	0.001	0.019	0.015	0.015	0.009	0.022	0.015	0	0.03	0.02
MMRF_2119_1_BM_CD138pos_pair	0.004	0.968	0	0.001	0.073	0.067	0.002	0.002	0.984	0.984	0.005	0.005	0.988	0.988	0	0.003	0.003	1	1	0	0	0	0	0.002	0.002	0	0	1	0	0	0	0	0	0	0.964	0.964	0	0	0	0	0	0	0	0	0.009	0	0	0	0	0	0	0	0	0	0	0	0.015	0.004	0	0	0.008	0.002	0.018	0.011	0	0	0	0	0	0	0.007	0.031	0	0.006	0.006	0.006	0	0	0.031	0.031	0.006	0.027
MMRF_2122_1_BM_CD138pos_pair	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0.003	1	0.01	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0.019	0.005	0.005	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_2125_1_BM_CD138pos_pair	0	0.971	0	0	0	0	0	0	0	0.016	0	0	0.023	0	0	0	0	0.089	0.059	0	0	0.001	1	0.001	0	0	0.004	0.024	0.01	0.01	0.004	0.011	0	0.021	0.038	0.046	0.016	0.016	0.036	0.026	0.004	0.004	0.004	0	0.009	0.012	0.004	0.004	0.014	0.008	0.017	0	0.007	0.996	0	0.005	0.103	0.024	0	0	0.031	0.032	0	0	0	0	0	0.007	0.007	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_2126_1_BM_CD138pos_pair	0.006	0.006	0.045	0	0.909	0.909	0	0	0.933	0.934	0	0	0	0	0	0.011	0.011	0.936	0.943	0	0.059	0.974	0.992	0	0	0	0	1	0	0	0	0	0	0	0.954	0.942	0	0	1	0	0	0.44	0	0.944	0	0.004	0	0	0.009	0.009	0	0	0.032	0.032	0.026	0.026	0.945	0.006	0	0	0.03	0	0	0	0.024	0.024	0.073	0	0	0	0.003	0	0	0.003	0.021	0.021	0	0	0.005	0.123	0	0.018
MMRF_2128_1_BM_CD138pos_pair	0	0.031	0	0	1	1	0	0	1	1	0	0	0.22	0.213	0.003	0.014	0.014	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0.01	0	0	1	1	0	0	0.043	0	0.024	0.024	0.024	0	0.01	0.014	0	0	0.018	0.016	0	0	0.024	0.024	0	0	0	0	0	0	0.011	0	0	0	0.009	0.009	0.006	0	0	0	0.023	0.012	0	0	0.012	0.012	0	0	0.009	0.009	0	0.018
MMRF_2129_1_BM_CD138pos_pair	0	0	0	0	0	0	0	0	0	0	0.433	0	0	0	0	0	0	1	1	0	0	0.001	1	0	0	0	1	1	0	0.006	0.009	0.016	0	0	1	1	0.005	0.005	0.144	0.023	0.001	0.001	0.001	0.007	0.005	0.016	0.008	0.008	0.011	0.011	0.011	0.004	0	0.014	0.002	0.002	0.01	0.01	0	0	0.003	0	0	0	0.001	0.001	0.031	0	0	0	0.121	0	0	0	0.01	0.01	0	0	0	0	0	0
MMRF_2132_1_BM_CD138pos_pair	0	0.792	0	0	0.1	0.1	0	0	0.978	0.932	0	0	0	0	0	0	0	0.974	0.947	0	0	0	0.006	0	0	0	0	0	0	0	0.97	0.974	0	0	0.829	0.971	0	0	0	0	0.985	0.994	0.98	0	0.016	0.016	0	0	0.617	0.031	0	0	0.005	0.005	0.011	0.007	0.014	0.014	0	0	0.034	0.025	0.003	0	0.008	0.803	0.022	0	1	0	0.091	0.996	0	0	0.009	0.009	0	0	0.011	0	0.006	0.014
MMRF_2137_1_BM_CD138pos_pair	0	0.55	0	0.004	0.033	0.068	0.002	0.005	0	0	0.003	0.01	0.011	0.001	0.007	0	0	0.004	0.006	0	0	0.008	0.813	0.005	0.005	0	0	0	0.002	0.002	0	0	0	0	0.009	0.012	0	0	0.001	0.006	0.062	0.062	0.062	0	0	0	0	0	0	0	0.003	0.002	0	0	0	0	0	0	0	0	0.001	0.003	0	0	0	0	0.744	0.172	0.172	0.006	0	0	0.009	0.007	0.003	0.003	0	0	0.001	0.001	0	0
MMRF_2138_1_BM_CD138pos_pair	0	0	0.003	0.002	1	1	0	0	1	1	0.001	0.001	0	0.006	0	0	0	1	0.884	0	0.001	1	1	0	0.002	0	0	1	0	0.015	0.005	0.017	0.013	0	1	1	0.012	0.009	0	0	0.001	0.001	0.001	0.003	0	0	0	0	0.004	0.004	0	0	0	0	0.006	0	0.045	0.045	0	0	0	0	0	0	0.01	0	0.001	0.02	0.02	0	0.054	0	0	0	0	0.002	0	0	0	0	0.005	0.399
MMRF_2140_1_BM_CD138pos_pair	0.024	0.902	0	0	0	0	0.009	0	0	0	0.004	0	0.003	0	0	0	0	0	0.016	0	0	0.009	1	0	0	0	0.03	0	0.019	0	0.008	0.008	0	0	0.037	0.018	0.003	0.003	0	0.058	0	0	0	0	0.008	0.01	0.022	0.021	0	0.017	0.015	0.006	0	0.002	0	0.02	0.008	0.008	0.007	0	0.006	0	0	0.02	0.007	0.012	0.012	0	0	0.007	0	0.936	0	0	0.013	0.013	0	0	0	0	0.022	0
MMRF_2141_1_BM_CD138pos_pair	0	0.009	0	0	0.002	0.002	0	0	1	1	0	0	0	0	0	0	0	1	1	0.001	0.001	1	1	0	0	0	0	0.243	0.01	0	0.014	0.014	0	0	1	1	0.025	0.025	0.84	0.016	0.711	0.748	0.748	0.26	0.002	0.859	0	0	0.013	0.013	0	0	0.062	0.522	0.002	0.002	0.018	0.018	0	0	0	0	0	0	0.069	0.069	0.019	0	0	0	0	0	0	0	0.004	0.004	0	0	0	0	0	0
MMRF_2143_1_BM_CD138pos_pair	0	0	0.01	0.018	0.535	0.535	0	0.023	0.535	0.538	0.015	0.017	0.051	0.051	0	0	0	0.517	0.517	0.002	0.007	1	1	0.01	0.01	0.015	0.003	0.524	0.135	0.135	0	0	0.007	0.008	0.531	0.531	0	0	0.007	0	0.049	0.049	0.049	0.041	0	0	0	0	0.426	0	0	0	0	0	0	0	0.079	0.006	0	0	0	0.005	0	0	0	0	0	0.002	0.002	0	0	0	0.017	0	0	0	0	0	0.004	0.004	0	0.011
MMRF_2144_1_BM_CD138pos_pair	0.007	0.003	0.003	0.003	0	0	0	0.008	0.008	0.008	0.573	0.013	0.003	0.002	0	0	0	0.002	0.002	0	0.002	0.005	0.002	0.003	0.003	0	0	0.025	0.005	0	0.006	0.015	0.006	0.006	0.029	0.019	0	0.003	0.001	0	0	0	0	0	0	0	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0.002	0	0	0	0	0.99	0.991	0.991	0	0	0.007	0	0	0	0	0	0	0.062	0	0	0
MMRF_2149_1_BM_CD138pos_pair	0	0.002	0	0	0	0	0.985	0.985	0.998	0.998	0.027	0	0.996	0.996	0	0	0	1	1	0	0	0.982	0.984	0	0	0	0	1	0	0	0	0.005	0	0	0.97	0.984	0.005	0.007	0.998	0	0	0.995	0.995	0.001	0.001	0.001	0.001	0.001	0	0	0	0	0	0.997	0	0	0.004	0.004	0	0	0.004	0.002	0	0	0.002	0.002	0	0.001	0.001	0	0.016	0.017	0.008	0	0.002	0.002	0	0	0	0	0	0.034
MMRF_2150_1_BM_CD138pos_pair	0	1	0.147	0.143	0.031	1	0	0	1	0.716	1	0.095	1	1	0	1	1	1	1	1	0.982	1	1	0.003	0.003	0	0.058	1	0.001	0	0.005	0.005	1	1	1	0.1	0	0.008	0.052	0	0.009	0.009	0.009	0	0	0	0	0	0.004	1	0	0	0	0	0	0	0.022	0	0	0	0	0	0	0	0	0	0.108	0	0	0	0	0.004	0	0	0	0	0	0	0.027	0	0	0
MMRF_2151_1_BM_CD138pos_pair	0.002	0	0.016	0.022	0.945	0.959	0.022	0.049	0.101	0.096	0.729	0	0	0.027	0	0	0	0.961	0.912	0	0.002	0.946	0.945	0.017	0.017	0	0	1	0	0	0	0	0.022	0.022	0	0.001	0	0	0.021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.972	0.048	0	0.466	0.685	0	0	0.001	0.006	0	0	0	0	0.976	0.916	0	0	0.019	0.026	0.021	0.013	0	0	0.026	0	0.005	0.024	0	0.046
MMRF_2152_1_BM_CD138pos_pair	0.006	0.006	0.004	0	0.973	0.973	0.955	0.951	0.951	0.973	1	0	0.983	0.602	0	0	0	0.008	0.002	0.985	0.771	1	0.977	1	1	0	0	1	0.059	0.025	0.166	0.098	0.95	0.954	1	1	0	0.062	0.479	1	0	0.992	0.992	0	0	0.009	0	0	0	0	0	0	0	0.006	0	0	0.994	0.018	0	0	0	0.028	0	0	0	0	1	0.993	0.957	0	0	0	0.936	0	0	0	0	0	0.98	0	0	0
MMRF_2153_1_BM_CD138pos_pair	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0.02	0	0	0	0.025	0	0	0.013	0.004	0	0	0	0	0	0	0	0.004	0.014	0.014	0.01	0.006	0	0.005	0.011	0.008	0.015	0.015	0.01	0.01	0.014	0.014	0.01	0.007	0.016	0.004	0.006	0	0.012	0.012	0.136	0.005	0.005	0	0.002	0	0	0	0.011	0.011	0	0	0.197	0.136	0.017	0.013
MMRF_2159_1_BM_CD138pos_pair	0	0	0.022	0.007	0.006	0.019	0.026	0.038	0.008	0.019	0.009	0	0.01	0.01	0	0	0	0.003	0.01	0.007	0.021	0.012	0	0.013	0.023	0	0.011	0.011	0	0	0.018	0.027	0.007	0.006	0.068	0.05	0.009	0.056	0.031	0.042	0.016	0.016	0.016	0	0	0	0	0	0	0	0	0	0	0.741	0	0	0.005	0.005	0	0	0	0.018	0	0.013	0	0	0.074	0.014	0.014	0	0.741	0.038	0.007	0	0	0	0	0	0	0	0	0
MMRF_2167_1_BM_CD138pos_pair	0	0.077	0	0	0.998	0.997	0	0	0.918	0.739	1	0.876	0.065	0.003	0	0	0.908	0.98	0.96	0	0	1	1	0	0.003	0	0	1	0	0	0.01	0.068	0.977	0.977	1	1	0	0	0.011	0.028	0	0.99	0.99	0	0.001	0.007	0	0	0.017	0.012	0	0	0	0	0	0	0.017	0	0	0	0.005	0.989	0	0	0.006	0	0	0	0	0	0.188	0.186	0	0	0	0	0	0	0	0.372	0	0
MMRF_2168_1_BM_CD138pos_pair	0	0.011	0.008	0	0.983	0.985	0	0.002	0	0	0	0.002	0.017	0	0	0	0	0.985	1	0.004	0	0.99	0.979	0	0	0	0	0.014	0.006	0.002	0.001	0.015	0	0.009	0.084	0.015	0	0.007	1	0.013	0.001	0.001	0.001	0	0	0.001	0	0	0.008	0	0.01	0.001	0.002	0	0	0.001	0.002	0.002	0	0	0	0.002	0	0	0.001	0.001	0.014	0	0	0	0	0.001	0	0	0.004	0	0	0	0	0	0	0
MMRF_2170_1_BM_CD138pos_pair	0	1	0	0	0	0	0	0	0.778	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0.037	0	0	0.098	0.019	0	0	0	0	0.989	0.989	0.989	0	0.009	0.014	0.018	0.031	1	1	0	0.012	0.011	0.011	0.01	0.01	0.023	0.02	0.009	0	0.07	0.059	0.013	0.002	0.007	0.007	0.993	0.99	0.99	0.8	0.997	0.893	0	0	0.018	0.018	0	0	0.043	0.009	0.01	0.985
MMRF_2172_1_BM_CD138pos_pair	0	0.985	0.012	0.008	0	0.025	0.015	0.038	0.019	0.01	0.005	0	0.026	0.023	0	0.01	0.01	0.027	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007	0	0	0	0	0	0	0	0.02	0.932	0.942	0	0	0	0.016	0	0	0	0	0	0	0.922	0	0	0.017	0	0	0	0.012	0.009	0.091	0	0.925	0.925	0.989	0	0	0	0.125	0.132	0.067	0.06	0	0.993	0.074	0.065	0.015	0.015	0.003	0.142
MMRF_2173_1_BM_CD138pos_pair	0	0	0.007	0.006	0.002	0.002	0.006	0.005	0.01	0.008	1	0.012	0	0	0.011	0.005	0.005	0	0	0.007	0.007	0.003	0	0.022	0.011	0.018	0.026	0.006	0.012	0.018	0	0	0.002	0.002	0.618	0.176	0.015	0.015	0.004	0.008	0.216	0.881	0.881	0.01	0	0	0	0	0	0	0	0	0	0	0.004	0.001	0	0	0.003	0.003	0	0	0	0.003	0	0	0	0	0	0	0	0	0.014	0.001	0	0	0	0	0	0	0	0
MMRF_2174_1_BM_CD138pos_pair	0.008	1	0	0	0.971	0.971	0.948	0.92	0	0	0	0	0	0	0	0	0	0.953	1	0	0	0.993	1	0	0	0	0	0.047	0.021	0	0.039	0.036	0	0	0.025	0.025	0.014	0.014	0	0	0	0	0	0	0.009	0.024	0	0	0	0	0.042	0.023	0.023	0.023	0.02	0.02	1	0.029	0	0	0.009	0	0	0	0.009	0.009	0.009	0.004	0.004	0	0	1	0	0	0.03	0.03	0	0	0	0	0.033	0.361
MMRF_2176_1_BM_CD138pos_pair	0	0	0.008	0.005	0	0	0	0.013	0.024	0.008	0.023	0.023	0	0	0	0	0	0	0.123	0.009	0.009	0	0	0.036	0.036	0	0	0	0	0.155	0	0	0	0	0	0	0.054	0.014	0	0	0.067	0.067	0.067	0.062	0	0	0.003	0.013	0.008	0	0	0	0	0	0.022	0.022	0.932	0.908	0.016	0	0	0	1	0.032	0	0	1	0.975	0	0.02	0.019	0	0.076	0.071	0.272	0.272	0.091	0.093	0	0	0.08	0.788
MMRF_2180_1_BM_CD138pos_pair	0.004	0.004	0.002	0	0.006	0.006	0	0	1	1	0	0	0.005	0.012	0	0	0.727	1	1	0.006	0.006	1	1	0.006	0.006	0	0	1	0.39	0	0.174	0.031	0	0	1	1	0.021	0.021	1	0	0	0	0	0	0	0	0	0	0.01	0.01	0	0	0.004	0.004	0	0	0.269	0.019	0	0	0	0	0	0	0	0	0.028	0.001	0.001	0	0	1	0	0	0.004	0.004	0	0	0	0	0	0
MMRF_2181_1_BM_CD138pos_pair	0	1	0	0	0	0	0	0	0	0	0.036	0	0	0	0	0.025	0.025	0	0	0	0	0	0.009	0	0	0	0	0	0	0	0	0	0	0	0.973	0	0	0	0.002	0	0.978	0.978	0.978	0	1	0.002	0.001	0	0.999	0.99	0.001	0.004	0	0.705	0.009	0.009	0	0	0.008	0.014	0.017	0	0.014	0	0	0	0	0	0	0.03	0.03	0	0	0.004	0.011	0.011	0	0.039	0.022	0.022	0	0.027
MMRF_2183_1_BM_CD138pos_pair	0	0.092	0.001	0	0.961	0.96	0	0	0.956	0.968	0.962	0.962	0.878	0.932	0.007	0	0	1	1	0.011	0.011	0.957	0.952	0.003	0	0	0	0.967	0.002	0	0.447	0.623	0	0	0.981	0.977	0.007	0.007	0.968	0.006	0	0	0	0	0	0.001	0	0	0.003	0.003	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0.001	0.006	0	0	0	0	0.008	0	0	0.005	0.005	0	0	0	0	0	0
MMRF_2185_1_BM_CD138pos_pair	0.006	0.059	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_2186_1_BM_CD138pos_pair	0.004	0.004	0.003	0.001	0	0	0.002	0.002	0	0	0	0	0	0	0	0	0	0	0	0.001	0.001	0	0	0.001	0.001	0	0	0.021	0	0	0	0.012	0	0	0.001	0	0.003	0.011	0	0	0	0	0	0	0	0	0.004	0.004	0	0	0.005	0.006	0	0	0.004	0.002	0.002	0.002	0.004	0.004	0	0	0	0.001	0	0	0.002	0	0	0	0.004	0	0.011	0	0.005	0.005	0	0.016	0	0	0.009	0.002
MMRF_2187_1_BM_CD138pos_pair	0	1	0.012	0.014	0.995	0.995	0	0	1	1	0.025	0.025	0.996	0.996	0	0.004	1	0.99	0.989	0	0	0.986	0.994	0	0	0	0	1	0.83	0	0	0.002	0	0	1	0.975	0.006	0	1	0.003	0.002	0.002	0.002	0	0	0	0	0	0.011	0.011	0	0	0	0	0	0	0.01	0.007	0	0	0.009	0.002	0	0	0.007	0.007	0.038	0	0.002	0	0	0.016	0.01	0	0.008	0.009	0	0	0	0.002	0	0
MMRF_2190_1_BM_CD138pos_pair	0.009	0.004	0.001	0	0	0	0	0	0	0	0.414	0	0	0	0	0	0	0	0	0	0	0	1	0.009	0.002	0	0	0.038	0.02	0	0.008	0.023	0	0	0.029	0.021	0.003	0.017	0	0	0	0	0	0	0	0.01	0.005	0.005	0.012	0.024	0.008	0.011	0	0.009	0.006	0.006	0.008	0.011	0.011	0	0.003	0	0.001	0	0	0	0.02	0	0	0	0	0.405	0	0	0.014	0.014	0	0	0	0	0.014	0.401
MMRF_2194_1_BM_CD138pos_pair	0.013	0.013	0	0	0	1	0	0	0	0	0.004	0	0	0	0	0	0	0	0.158	0	0	0.01	0.01	0.003	0.003	0	0	0.033	0.876	0	0	0.024	0	0	0.04	0	0	0.686	0.001	0	0	0	0	0	0	0.004	1	0	0.012	0.012	0.005	0.005	0	0.006	0.002	0	1	0.006	0.006	0	0.001	0	0	1	0	0	1	1	1	0	0	1	1	0	0.006	0.007	0	0.8	0.139	0	0	0.184
MMRF_2195_1_BM_CD138pos_pair	0.011	0.002	0.01	0.005	0.004	0.004	0	0	1	1	0.006	0.009	1	1	0.002	0	0	1	1	0.005	0.005	1	1	0	0.011	0	0	1	0	0	0.013	0.043	0	0	1	1	0.003	0.026	1	0	0	0	0	0	0	0	0	0	0.014	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.69	0	1	0.708	0	0	1	1	0	0	0.007	0.007	0	0	0	0	0	1
MMRF_2197_1_BM_CD138pos_pair	0	0	0	0.01	1	1	0	0	0.763	0.345	0	0	0.018	0.018	0	0.01	1	1	1	0	0.011	0	1	0	0.626	0	0	1	0	0	0	1	0.001	0	1	0.137	0.001	0.004	1	0	0	0	0	0	1	0	0	0	0.015	0.013	0	0	0.002	0.006	0	0	1	1	0	0	0.012	0.006	0.011	0	0.069	0	0.28	0.038	0.851	0	0.014	0.004	0.01	0	0	0.001	0	0	0	0	0	0.169
MMRF_2198_1_BM_CD138pos_pair	0.005	0	0	0	0.981	0.981	0	0	0.981	0.981	0	0	0	0	0	1	1	1	1	0	0.017	0.974	0.986	0	0	0	0	0.94	0.004	0.946	0	0.002	0	0	1	1	0.027	0.031	0	0	1	1	0	0.025	0.015	0.052	0	0	0.453	0.056	0	0	0.01	1	0.013	0.013	0.149	0	0	0	0.011	0.013	0	0	0.012	0.012	0.516	0	0	0	0	0	0	0	0.023	0.023	0	0	0	0	0.004	0.001
MMRF_2199_1_BM_CD138pos_pair	0.005	0.004	0	0	0.936	0.923	0.962	0.942	0	0	0	0	1	1	1	1	1	0.849	1	0	0	1	1	0	0	0.295	0.099	1	0	0	1	1	1	1	1	1	0	0.006	0	0	0	0	0	0.018	0.022	0.026	0	0	0	0	0.026	0.028	0.026	0.026	0	0	0	0	0	0	0.014	0.885	0	0	0.014	0.022	0	0	0	0	0.002	1	0	0	0	0	0	0	0.008	0	0.01	0.047
MMRF_2200_1_BM_CD138pos_pair	0	0.04	0.002	0	0.002	0.001	0	0	0	0	0	0	0	0.006	0	0.015	1	0	1	0	0	0	0	0.01	0	0	0.009	0.087	0.09	0	0	0.026	0	0	1	0	0.012	0.008	0	0.032	1	1	1	0	0	0.003	0	0	0.988	0.975	0.038	0.029	0.006	1	0.008	0	0.017	0.008	0.04	0	0.903	0.903	0.001	0	0	0.004	0.023	0	0	0	0	1	0	0	0.025	0.025	0	0.01	0	0	0.014	0
MMRF_2201_1_BM_CD138pos_pair	0.007	0	0.007	0	0.002	0.002	0	0	0.001	0.001	0.002	0.002	0	0	0	0	0	0.009	0.009	0.004	0.004	0.027	1	0.015	0.008	0	1	0	0.022	0.017	0.026	0.039	1	1	0.046	0.046	0.116	0.116	0.02	0.049	0	0	0	0	0	0.001	0	0	0.014	0.014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.034	0	0	0.025	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_2203_1_BM_CD138pos_pair	0	0	0	0	0.778	0.778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.639	0	0	0	0	0	0	0.051	0.018	0	0	0.013	0	0	0.981	0.008	0.022	0.013	0.077	0	0	0.017	0.017	0.014	0.018	0.006	0.014	0.01	0.01	0.02	0.021	0.014	0.01	0.016	0.002	0.016	0.001	0.031	0.02	0.993	0.987	0.987	0	0.002	0	0	0.002	0.023	0.023	0	0	0.012	0.012	0	0.991
MMRF_2204_1_BM_CD138pos_pair	0	1	0.014	0	0	0	0	0	0.984	0.95	0	0	0	0.801	0	1	1	1	1	0.002	0.002	0.001	0	0	0	0	0	0.021	0.02	0.02	0.037	0.037	0.002	0	1	1	0	0	0.485	0	0	0.064	0.062	0	0	0.008	0.01	0.095	0.014	0.039	0	0	0.005	0.011	0.478	0	1	0	0	0	0	0	0	0.001	0.002	0.002	0.594	1	1	0	0	0	0	0	0	0.01	0	0	0.594	0.977	0	0.984
MMRF_2207_1_BM_CD138pos_pair	0	0	0	0	1	1	0	0	0	0	0.885	0.885	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0.012	0	0.01	0.01	0.018	0.018	1	1	0.014	0.014	0.025	0	0.004	0.004	0.004	0.013	0.02	0.025	0	0	0.023	0.041	0.024	0.024	0	0	0.019	0.025	0.023	0.023	0	0	0.008	0	0	0	0.019	0.019	0.973	0.008	0.008	0.002	0	0	0	0	0	0	0	0	0	0	0	0.001
MMRF_2209_1_BM_CD138pos_pair	0	0.001	1	1	1	1	0	0	1	1	0	0	0.111	0.783	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0.014	0	0.005	0	0	1	1	0.779	1	0.121	0	0.002	0.001	0.001	0.015	0	0	0	0	0.018	0.018	0	0	0.016	0.016	0	0	0.038	0.038	0	0	0.008	0.005	0	0	0.016	0.016	0.003	0.95	0.95	0	0.009	0	0	0	0.018	0.018	0	0	0	0	0	0.007
MMRF_2211_1_BM_CD138pos_pair	0	0.011	0.018	0	0.002	0	0	0	0	0	0	0	0	0.731	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013	0	0	0	0.037	0	0	1	0.015	0.01	0.01	0	0.012	0.988	0.988	0.988	0	0	0.009	0	0.059	0.767	0.754	0.014	0.734	0.013	0.013	0.021	0	0.933	0.738	0.018	0.002	0.051	0.603	0.003	0	0.001	0.001	1	0.99	0.99	0	0.005	0.994	0	0	0.052	0.049	0	0	0	0	0.02	0
