sample	chr_10p	chr_10q	chr_11p	chr_11q	chr_12p	chr_12q	chr_13q	chr_14q	chr_15q	chr_16p	chr_16q	chr_17p	chr_17q	chr_18p	chr_18q	chr_19p	chr_19q	chr_1p	chr_1q	chr_20p	chr_20q	chr_21q	chr_22q	chr_2p	chr_2q	chr_3p	chr_3q	chr_4p	chr_4q	chr_5p	chr_5q	chr_6p	chr_6q	chr_7p	chr_7q	chr_8p	chr_8q	chr_9p	chr_9q	chr_11q_BIRC2	chr_11q_CCND1	chr_1p_CDKN2C	chr_1q_CKS1B	chr_16q_CYLD	chr_1p_EVI5	chr_14q_MAX	chr_8q_MYC	chr_8q_MYC_enhancer	chr_10q_NFKB2	chr_1p_NOTCH2	chr_13q_RB1	chr_1p_TENT5C	chr_17p_TP53	chr_14q_TRAF3
MMRF_1722_1_BM_CD138pos_pair	1.9879|0.0018	2.0013|0.0013	1.9867|0.001	1.9867|0.001	2.0256|0.001	2.0256|0.001	1.0531|6e-04	2.0107|0.0019	1.9858|0.0018	1.9738|0.0025	1.9851|0.0023	1.948|0.0014	1.948|0.0014	1.9943|0.0013	1.9943|0.0013	1.9343|0.003	1.9397|0.0019	1.1632|0.0022	2.111|0.0012	2.0186|0.0015	2.0186|0.0015	1.9994|0.002	2.0002|0.003	1.9942|0.0012	1.9999|0.0014	1.992|9e-04	1.9917|0.0013	1.995|0.0016	2.0036|0.0013	2.0044|9e-04	2.0022|0.0012	2.0077|9e-04	2.0077|9e-04	1.9818|9e-04	1.9818|9e-04	2.0004|0.001	1.994|0.0013	1.9965|0.0019	2.0868|0.0248	1.9923|0.001	1.9923|0.001	2.0136|0.0013	2.1167|0.0012	1.9687|0.0018	2.0136|0.0013	2.0253|0.0013	2.0061|0.001	2.0061|0.001	2.0075|0.0012	1.1553|0.0019	1.0588|6e-04	1.1553|0.0019	1.9537|0.0014	2.0253|0.0013
MMRF_1723_1_BM_CD138pos_pair	3.0433|0.0048	3.0041|0.0016	2.9933|0.0019	2.9912|0.002	1.1215|0.0025	2.0064|0.0011	1.0052|8e-04	1.9997|0.0021	3.004|0.0018	1.9787|0.0036	1.0067|9e-04	1.8113|0.0037	1.9954|0.003	2.0011|0.0027	1.0007|0.0013	3.9604|0.0054	3.2702|0.0061	1.9973|0.0015	2.9948|0.0016	1.9604|0.0013	1.9604|0.0013	2.0089|0.0019	1.9718|0.0019	2.0334|0.0011	2.0191|9e-04	2.0181|0.0011	2.0231|0.0012	2.0206|8e-04	2.0206|8e-04	2.9848|0.0012	2.9848|0.0012	2.0125|8e-04	2.0125|8e-04	2.0101|9e-04	2.0101|9e-04	2.0164|9e-04	2.0164|9e-04	2.9556|0.0025	2.9994|0.0019	2.9811|0.002	2.9838|0.0019	1.9933|0.001	2.9853|0.0016	0.9972|9e-04	1.9933|0.001	1.9879|0.0012	2.0069|9e-04	2.0069|9e-04	2.9946|0.0016	1.9818|0.0039	0.9972|6e-04	1.9818|0.0039	0.9657|0.0029	1.0172|0.0146
MMRF_1725_1_BM_CD138pos_pair	1.8934|0.0019	1.9044|0.0013	1.8825|0.0017	1.8811|0.0011	2.0085|0.0011	2.0085|0.0011	1.0522|7e-04	1.6766|0.0016	2.1758|0.0016	1.9996|0.0025	1.2545|0.0022	1.8733|0.0026	1.8727|0.0023	1.9914|0.0015	1.9914|0.0015	1.9907|0.002	1.9907|0.002	1.9977|0.0018	2.563|0.0016	1.0289|0.0017	2.0199|0.0029	1.9985|0.0022	2.0612|0.0033	1.9897|8e-04	1.9897|8e-04	1.9861|9e-04	1.9861|9e-04	1.8997|0.0015	1.889|0.0011	2.0095|0.0022	2.0018|0.0011	2.2192|0.0011	2.2192|0.0011	1.9683|0.0011	1.9765|0.0016	1.9039|0.001	1.9039|0.001	2.21|0.0013	2.21|0.0013	1.8932|0.0011	1.8932|0.0011	2.0088|0.0013	2.5751|0.0016	1.2528|0.0023	2.0088|0.0013	2.1265|0.002	1.916|0.001	1.916|0.001	1.9172|0.0013	2.0088|0.0013	1.0642|7e-04	2.0088|0.0013	1.9544|0.0034	0.2099|0.003
MMRF_1726_1_BM_CD138pos_pair	1.9925|0.0013	1.9925|0.0013	1.9325|0.0012	1.9325|0.0012	2.0331|0.0014	2.0331|0.0014	1.0578|0.0011	1.8051|0.0024	1.9308|0.0022	2.4879|0.0067	1.0308|0.0012	1.9168|0.0017	1.9168|0.0017	1.9714|0.0017	1.9714|0.0017	2.828|0.0033	2.828|0.0033	2.0268|0.0014	2.8303|0.0021	2.0585|0.002	2.0585|0.002	1.9721|0.0025	2.0855|0.0037	1.9836|0.0015	1.9752|0.0016	1.9385|0.001	1.9385|0.001	2.9383|0.0031	2.9026|0.0018	2.9461|0.0016	2.9461|0.0016	1.9988|0.0012	1.9988|0.0011	2.8438|0.0019	2.8551|0.003	1.5493|0.0028	2.9633|0.0035	3.8029|0.0043	3.7692|0.0035	1.9574|0.0012	1.9574|0.0012	2.0516|0.0014	2.8551|0.0021	1.0556|0.0012	2.0516|0.0014	1.0953|0.0016	3.0084|0.0035	3.0084|0.0035	2.0173|0.0013	2.0516|0.0014	1.0805|9e-04	2.0516|0.0014	1.9417|0.0017	2.1834|0.0038
MMRF_1727_1_BM_CD138pos_pair	2.0002|0.0011	1.9904|0.0015	2.0001|0.001	2.0001|0.001	1.8729|0.0038	1.9693|0.001	1.6754|0.001	1.9698|0.0016	2.012|0.0017	2.0138|0.0014	2.0138|0.0014	1.9138|0.0018	2.262|0.0034	1.9926|0.0013	1.9929|0.0015	2.0156|0.0021	2.0188|0.0028	1.9829|0.0013	2.8158|0.0084	1.9858|0.0021	2.0149|0.002	1.9794|0.0023	2.0164|0.0029	2.0738|0.0016	2.0175|0.0014	2.0018|8e-04	2.0028|0.0014	1.5868|0.0018	1.9938|0.0013	1.995|0.0015	1.5001|0.0015	2.0223|9e-04	2.0221|9e-04	1.5242|0.002	1.9863|0.001	1.9959|9e-04	1.9959|9e-04	2.0027|0.0011	2.0027|0.0011	2|0.001	2|0.001	1.9784|0.0011	3.2106|0.0034	2.0136|0.0014	1.9784|0.0011	1.9741|0.0012	1.9957|9e-04	1.9957|9e-04	2|0.0011	1.9784|0.0011	1.6752|0.001	1.9784|0.0011	1.9136|0.0018	1.9741|0.0012
MMRF_1730_1_BM_CD138pos_pair	1.9795|0.0021	1.9804|0.0016	2.3476|0.0026	2.8225|0.0017	2.0096|0.001	2.0096|0.001	2.0403|0.0016	2.0006|0.0015	2.8976|0.0031	1.9594|0.0022	2.0158|0.0018	1.8903|0.0013	1.8903|0.0013	1.9797|0.0013	1.9797|0.0013	2.8335|0.0025	2.8335|0.0025	1.9889|0.001	2.0005|0.0011	2.5164|0.0041	1.8117|0.0047	2.9636|0.0029	1.8412|0.0032	1.9828|0.0012	1.9673|0.0016	1.956|8e-04	1.956|8e-04	1.9796|0.0016	1.9949|0.0012	2.9782|0.0031	2.9817|0.0014	2.8522|0.0036	1.0038|9e-04	1.9351|0.001	1.9366|0.0014	2.0025|0.001	2.0025|0.001	2.8887|0.0025	2.8475|0.0019	2.8424|0.0017	2.8424|0.0017	2.0088|0.001	2.0204|0.0011	2.0357|0.0018	2.0088|0.001	2.029|0.0012	2.0224|0.001	2.0224|0.001	1.9952|0.0014	2.0088|0.001	2.058|0.0014	2.0088|0.001	1.9102|0.0013	2.029|0.0012
MMRF_1733_1_BM_CD138pos_pair	1.9921|0.0013	1.9921|0.0013	3.4729|0.0022	3.4729|0.0022	2.0184|0.0013	2.0184|0.0013	2.0484|0.0015	2.0248|0.0016	2.7432|0.0022	2.0057|0.0028	2.0303|0.002	2.6773|0.0024	2.6773|0.0024	1.9863|0.0016	1.9863|0.0016	2.8103|0.0039	2.811|0.0055	2.0004|0.0015	2.0074|0.0013	1.9974|0.0019	1.9974|0.0019	1.9705|0.0025	1.9717|0.0026	1.9936|0.0021	1.9938|0.0012	2.7956|0.0014	2.7956|0.0014	1.9819|0.001	1.9819|0.001	2.8602|0.0015	2.8602|0.0015	2.0123|0.0018	2.0115|0.0011	2.7443|0.0017	2.7463|0.0023	2.0077|0.0013	2.0089|0.0018	2.7444|0.0031	2.7057|0.0023	3.4755|0.0022	3.4755|0.0022	2.0016|0.0015	2.01|0.0013	2.033|0.002	2.0016|0.0015	2.0275|0.0016	2.6201|0.0425	2.0087|0.0035	1.9948|0.0013	2.01|0.0013	2.0511|0.0015	2.01|0.0013	2.6799|0.0024	2.0275|0.0016
MMRF_1735_1_BM_CD138pos_pair	1.9924|0.0025	1.9881|0.0017	3.6913|0.0024	3.6913|0.0024	2.0317|0.0014	2.0317|0.0014	2.0556|0.0016	2.0294|0.0025	3.8267|0.0032	1.9957|0.0048	2.0611|0.0036	1.842|0.0017	1.842|0.0017	1.9984|0.0039	1.9721|0.0019	2.784|0.0061	2.8257|0.0065	2.0114|0.001	2.0114|0.001	2.0122|0.0042	1.9873|0.0028	2.973|0.0039	1.9972|0.004	1.9872|0.0021	1.9865|0.0013	2.9701|0.0031	2.8807|0.0019	2.0072|0.0019	2.0304|0.0015	2.9902|0.0046	3.005|0.0019	2.0365|0.0012	2.0365|0.0012	2.8605|0.003	2.8434|0.0027	2.0127|0.0013	2.0127|0.0013	3.7686|0.0044	3.738|0.0033	3.68|0.0024	3.68|0.0024	2|0.001	2|0.001	2.0447|0.0044	2|0.001	2.0324|0.0017	2.0013|0.0013	2.0013|0.0013	1.976|0.0016	2|0.001	2.0442|0.0016	2|0.001	1.8306|0.0017	2.0324|0.0017
MMRF_1736_1_BM_CD138pos_pair	2.0057|0.0011	2.0057|0.0011	2.9389|0.0023	2.9389|0.0023	2.0446|0.0012	2.0446|0.0012	1.0586|9e-04	2.0514|0.0014	1.9683|0.002	2.0055|0.0015	2.0055|0.0015	1.9733|0.0042	1.9373|0.0018	2.0011|0.0015	2.0011|0.0015	3.0391|0.0048	2.0377|0.0039	2.0005|9e-04	2.0005|9e-04	2.0486|0.0025	2.0358|0.0023	1.9977|0.0022	1.0422|0.0013	2.0009|0.0018	2.0063|0.001	1.9869|9e-04	1.9869|9e-04	1.9946|0.0018	1.9996|0.0018	2.9899|0.0032	2.9933|0.002	2.0114|0.0016	2.0199|0.001	1.9632|0.0011	1.9715|0.0017	1.0206|0.0011	1.0205|9e-04	1.9599|0.002	1.9095|0.0014	1.9714|0.0015	2.9381|0.0023	1.9997|9e-04	1.9997|9e-04	2.0046|0.0015	1.9997|9e-04	2.0506|0.0014	1.0198|8e-04	1.0198|8e-04	2.0048|0.0011	1.9997|9e-04	1.0564|7e-04	1.9997|9e-04	1.979|0.0034	2.0506|0.0014
MMRF_1738_1_BM_CD138pos_pair	1.9814|0.0015	1.9829|0.0013	2.8949|0.0028	3.0522|0.0028	0.997|0.001	1.9725|0.0012	0.9794|6e-04	1.9867|0.0025	2.9979|0.0038	1.9149|0.0029	0.9929|0.0012	0.9918|0.0014	2.0177|0.0015	2.9572|0.0026	2.9681|0.0032	3.0045|0.0059	2.7541|0.0042	0.9823|0.0014	2.5098|0.002	2.0043|0.0014	2.0068|0.0019	1.9815|0.0027	1.8949|0.0023	1.9935|0.002	1.9829|0.001	2.9771|0.0026	2.9597|0.0016	1.9674|0.0014	1.9688|8e-04	3.5034|0.0037	1.989|9e-04	2.9891|0.0021	2.822|0.0019	2.9869|0.0021	2.9817|0.0033	1.3895|0.002	1.9827|0.0019	2.9466|0.0015	2.9466|0.0015	3.0643|0.0024	3.0643|0.0024	2.009|0.009	3.0204|0.0019	1.0083|0.001	0.9995|0.0014	1.9952|0.0019	3.0783|0.04	1.9972|0.0025	2.0008|0.001	2.0328|0.003	0.9966|6e-04	2.0328|0.003	1.009|0.0014	2.0144|0.0019
MMRF_1739_1_BM_CD138pos_pair	1.9943|0.0022	1.9918|0.0014	2.7596|0.0016	2.7596|0.0016	2.0234|0.0012	2.0234|0.0012	2.0475|0.0014	2.0267|0.0024	3.7276|0.004	2.0213|0.0016	2.0213|0.0016	1.8898|0.0022	1.8698|0.0022	1.9872|0.0015	1.9872|0.0015	3.5501|0.006	2.7598|0.0039	2.0048|0.0013	2.0013|0.0014	1.9995|0.0018	1.9995|0.0018	3.8333|0.0045	2.9138|0.0051	1.9957|0.0014	1.9952|0.0011	2.875|0.0014	2.875|0.0014	1.9852|0.001	1.9852|0.001	2.9337|0.0015	2.9337|0.0015	2.0194|0.0011	2.0193|0.001	2.8118|0.0016	2.8109|0.0022	1.0658|0.0011	2.0073|0.0013	2.7739|0.0018	2.7739|0.0018	2.7592|0.0016	2.7592|0.0016	2.0044|0.0013	2.0009|0.0014	2.0209|0.0016	2.0044|0.0013	2.0362|0.0015	2.0069|0.0013	2.0069|0.0013	1.9914|0.0014	2.0044|0.0013	2.0471|0.0014	2.0044|0.0013	1.8894|0.0022	2.0362|0.0015
MMRF_1740_1_BM_CD138pos_pair	1.996|0.002	2.0001|0.0015	2.0011|0.0012	2.0011|0.0012	2.0043|0.0012	2.0043|0.0012	1.9102|0.0013	1.9835|0.0018	2.0037|0.002	2.0004|0.0026	1.9821|0.002	2.013|0.0016	2.013|0.0016	1.9922|0.0015	1.9922|0.0015	2.012|0.0021	2.012|0.0021	1.9715|0.0017	2.6629|0.0044	2.0038|0.0025	2.0156|0.0032	2.0059|0.0023	2.1014|0.0037	2.0029|0.0015	1.9952|0.0015	1.9596|9e-04	1.961|0.0012	1.9937|0.0016	1.9989|0.0018	1.9942|0.001	1.9944|0.0013	3.0039|0.0026	1.0036|0.002	1.9982|0.0011	1.9978|0.0016	1.9946|0.0025	1.9833|0.0011	2.0021|0.0013	2.0021|0.0013	2.0017|0.0012	2.0017|0.0012	1.4049|0.0232	3.0675|0.0052	1.9827|0.002	1.9546|0.0015	2.0006|0.0014	1.9838|0.0011	1.9838|0.0011	1.9992|0.0014	1.9546|0.0015	1.9107|0.0013	1.9546|0.0015	2.0135|0.0016	2.0006|0.0014
MMRF_1744_1_BM_CD138pos_pair	2.0013|0.001	2.0013|0.001	1.9859|0.0012	1.9734|0.0015	1.824|0.0018	2.1073|0.0012	1.0296|6e-04	1.9734|0.0021	1.9718|0.0023	1.9871|0.0039	1.9851|0.0019	1.8213|0.0021	1.2624|0.0016	0.999|0.0015	2.9913|0.0044	1.9715|0.0021	1.969|0.0029	1.222|0.0018	1.9495|0.0011	2.0309|0.0023	2.0212|0.0021	1.9953|0.002	2.0193|0.0031	2.0077|0.0015	1.9925|0.0018	1.9911|0.0016	1.9821|0.0018	1.999|0.0014	2.0002|0.0014	2.0187|0.0027	1.9884|0.0011	2.0062|9e-04	2.0062|9e-04	1.9764|0.0015	1.9827|0.0018	1.2712|0.0016	2.2534|0.0023	1.9588|0.0011	1.9588|0.0011	1.9797|0.0019	1.9961|0.0012	2.0202|0.0016	1.9598|0.0011	1.9953|0.0018	1.2458|0.0015	1.9732|0.0013	2.2783|0.0031	2.2783|0.0031	2.0116|0.001	1.9943|0.0141	1.0399|6e-04	1.2118|0.0018	1.8316|0.0021	1.9732|0.0013
MMRF_1746_1_BM_CD138pos_pair	2.5382|0.0015	2.5349|0.002	2.2454|0.001	2.2454|0.001	2.0098|9e-04	2.0098|9e-04	1.951|0.001	2.0042|0.0014	1.9574|0.0013	1.8525|0.0012	1.8525|0.0012	1.9527|0.0012	1.9527|0.0012	2.1893|0.0013	2.1893|0.0013	2.508|0.002	2.508|0.002	1.9928|0.0014	2.0228|0.0013	1.9846|0.0013	1.9846|0.0013	2.0729|0.0018	1.9677|0.0027	2.0094|0.0011	2.0115|8e-04	2.0633|0.0011	2.0716|0.001	2.0281|0.002	2.032|0.001	2.4266|9e-04	2.4266|9e-04	2|0.0014	1.9354|0.001	2.4977|0.0016	2.5862|0.0022	2.018|9e-04	2.018|9e-04	1.9172|0.001	1.9172|0.001	2.2437|0.001	2.2437|0.001	1.9965|0.001	2.0141|0.001	1.8508|0.0012	1.9965|0.001	2.0211|0.0011	2.0163|9e-04	2.0163|9e-04	2.5405|0.0021	1.9965|0.001	1.9493|0.001	1.9965|0.001	1.951|0.0012	2.0211|0.0011
MMRF_1750_1_BM_CD138pos_pair	1.9922|0.001	1.9922|0.001	1.9625|0.001	1.9625|0.001	2.0421|0.004	1.9998|0.0011	2.0065|0.0012	1.9969|0.0019	1.9778|0.0015	2.0093|0.0026	2.0387|0.0018	1.9798|0.0014	1.9798|0.0014	1.9885|0.0013	1.9885|0.0013	1.9927|0.0018	1.9927|0.0018	1.9892|8e-04	1.9892|8e-04	1.9933|0.0022	2.0035|0.002	1.9786|0.0019	1.0331|0.0025	2.0006|0.0012	1.9862|9e-04	2.9634|0.0025	2.9557|0.0015	1.9853|0.0016	1.9782|0.0016	1.9889|0.0012	1.9846|8e-04	2.9979|0.0026	1.005|8e-04	1.9692|0.0012	1.9654|0.0018	1.9966|9e-04	1.9966|9e-04	1.9643|0.0011	1.9643|0.0011	1.9736|0.001	1.9736|0.001	2.0003|8e-04	2.0003|8e-04	2.0498|0.0018	2.0003|8e-04	2.0108|0.0013	2.0077|9e-04	2.0077|9e-04	2.0033|0.001	2.0003|8e-04	2.0176|0.0012	2.0003|8e-04	1.9909|0.0014	2.0305|0.0041
MMRF_1753_1_BM_CD138pos_pair	1.995|9e-04	1.995|9e-04	1.9945|9e-04	1.9945|9e-04	2.002|0.0017	1.9994|0.001	2.0033|0.001	2.0111|0.0013	1.9996|0.0014	2.0033|0.0019	1.9957|0.0016	1.9936|0.0012	1.9936|0.0012	1.9961|0.0012	1.9961|0.0012	1.9995|0.0016	1.9995|0.0016	2.0033|0.0013	1.9859|0.0015	2.0037|0.0013	2.0037|0.0013	1.9933|0.0017	2.0031|0.0026	1.9963|0.0011	1.9949|0.0012	1.9908|0.001	1.991|0.0012	1.9938|7e-04	1.9938|7e-04	1.9933|7e-04	1.9933|7e-04	1.9934|8e-04	1.9934|8e-04	1.9931|8e-04	1.9931|8e-04	2.0087|0.0013	1.9964|8e-04	1.9886|0.001	1.9886|0.001	2.001|9e-04	2.001|9e-04	2.0057|0.001	1.9978|0.0016	2.0021|0.0016	2.0057|0.001	2.0203|0.0011	2.0029|8e-04	2.0029|8e-04	2.0014|9e-04	2.0057|0.001	2.0098|0.001	2.0057|0.001	2|0.0012	2.0203|0.0011
MMRF_1755_1_BM_CD138pos_pair	1.9839|0.0012	1.9839|0.0012	2.9737|0.0024	3.4707|0.0027	1.9879|0.0012	1.9879|0.0012	1.596|0.0012	2.6664|0.0046	1.9952|0.0016	2.0084|0.0038	0.9983|0.0013	1.0206|0.0021	2.04|0.002	2.9528|0.0022	2.9528|0.0022	2.0324|0.0023	2.0324|0.0023	1.0372|0.0039	1.9848|0.0014	1.0135|0.0024	2.0427|0.0024	1.9821|0.0024	1.8667|0.0033	1.9827|0.0015	1.9768|0.0011	1.9787|0.0013	2.9589|0.003	2.9566|0.0027	2.833|0.002	1.9637|0.002	1.9567|0.0018	1.9964|0.0018	0.9957|8e-04	2.9682|0.0026	2.9641|0.0023	1.0011|0.002	1.9845|0.0013	2.6635|0.0028	2.5717|0.0038	3.6069|0.0028	3.6069|0.0028	2.0099|0.0014	2.001|0.0014	1.0144|0.0013	2.0099|0.0014	1.9944|0.0016	2.0006|0.0013	2.0006|0.0013	2|0.0012	2.0099|0.0014	1.6121|0.0012	2.0099|0.0014	1.0367|0.0021	2.6825|0.0046
MMRF_1758_1_BM_CD138pos_pair	2.9232|0.0014	2.9232|0.0014	2.866|0.0023	2.8562|0.0015	1.5804|0.0012	2.0399|0.001	2.0728|0.0011	2.1137|0.0016	3.8365|0.0023	2.0373|0.0013	2.0373|0.0013	1.9302|0.0012	1.9302|0.0012	1.9848|0.0013	1.9869|0.0016	3.7823|0.005	2.8152|0.0044	2.0309|0.0012	2.8805|0.0015	2.9966|0.002	2.9966|0.002	2.004|0.0018	2.0789|0.0028	2.974|0.001	2.974|0.001	2.9135|0.0011	2.9152|0.0014	1.9961|0.0024	1.9859|0.0012	3.9421|0.0015	3.9421|0.0015	2.8669|0.0019	2.0875|0.0019	2.889|0.0012	2.889|0.0012	1.3865|0.0018	2.8294|0.0023	3.7731|0.0019	3.7731|0.0019	1.955|0.0015	1.955|0.0015	1.1269|0.001	1.9792|0.0015	1.1361|0.0013	1.1269|0.001	1.2066|0.0013	2.1713|0.0038	2.1713|0.0038	2.0219|0.0014	1.0924|0.0067	1.1716|0.0011	1.1269|0.001	1.029|0.0012	1.2466|0.0033
MMRF_1759_1_BM_CD138pos_pair	1.99|0.0032	2.0007|0.0014	2.7775|0.0031	2.8277|0.002	2.0005|0.0012	2.0005|0.0012	2.0656|0.0014	2.0349|0.0021	2.9093|0.0022	2.026|0.0016	2.026|0.0016	1.9123|0.0015	1.9123|0.0015	2.5061|0.0069	2.4843|0.0028	2.8713|0.003	2.8713|0.003	1.9698|0.0016	2.0327|0.0013	2.0064|0.0028	2.0058|0.0018	1.9885|0.0022	2.0088|0.0033	2.008|0.0014	2.0085|0.0011	2.891|0.0013	2.891|0.0013	2.0156|0.001	2.0156|0.001	2.923|0.0029	2.7372|0.0023	2.0309|0.0016	1.0392|9e-04	1.9452|0.0011	1.9444|0.0015	2.0297|0.0011	2.0297|0.0011	2.8922|0.003	2.8541|0.0022	2.8194|0.002	2.8194|0.002	1.9593|0.0013	2.0256|0.0013	2.0178|0.0016	1.9593|0.0013	2.0243|0.0015	2.0214|0.0011	2.0214|0.0011	1.9927|0.0014	1.9593|0.0013	2.0573|0.0014	1.9593|0.0013	1.9041|0.0015	2.0243|0.0015
MMRF_1760_1_BM_CD138pos_pair	4.017|9e-04	4.017|9e-04	4.0245|9e-04	4.0245|9e-04	4.029|9e-04	4.029|9e-04	2.0148|8e-04	3.2068|9e-04	4.0298|0.0017	4.0044|0.0021	4.0593|0.0024	3.9701|0.0012	3.9701|0.0012	4.0233|0.0012	4.0233|0.0012	4.0163|0.0028	4.014|0.0019	4.0525|7e-04	4.0525|7e-04	4.0008|0.002	4.0022|0.0018	4.0379|0.0018	3.6141|0.0024	4.0197|0.0011	4.0265|8e-04	4.0258|7e-04	4.0258|7e-04	4.003|0.0011	4.0384|0.0011	4.023|8e-04	4.023|8e-04	4.0339|8e-04	4.0339|8e-04	4.0307|8e-04	4.0307|8e-04	4.0187|8e-04	4.0187|8e-04	4.0275|0.0021	4.0311|0.0017	2|9e-04	2|9e-04	2.028|7e-04	2.028|7e-04	2.0164|0.0026	2.028|7e-04	1.1822|9e-04	1.9942|8e-04	1.9942|8e-04	1.9925|9e-04	2.028|7e-04	0.001|9e-04	2.028|7e-04	1.9456|0.0012	1.1822|9e-04
MMRF_1761_1_BM_CD138pos_pair	1.9897|0.0012	1.9897|0.0012	2.1711|0.0021	2.8052|0.0023	2.041|0.0012	2.041|0.0012	1.0276|0.0018	2.0453|0.0024	2.8795|0.003	1.992|0.0039	2.0238|0.0033	1.8941|0.0031	1.8284|0.003	1.9718|0.0016	1.9718|0.0016	2.7686|0.005	2.8046|0.005	2.0154|0.0016	1.9531|0.0015	2.7508|0.005	0.979|0.0017	2.9837|0.0034	0.9754|0.0029	1.9852|0.0014	1.9803|0.0011	2.9772|0.002	2.8897|0.0018	1.9615|0.001	1.9615|0.001	2.9966|0.0014	2.9966|0.0014	2.0036|0.0011	2.0036|0.0011	3.8491|0.0021	3.8586|0.0027	2.0073|0.0012	2.0073|0.0012	3.1792|0.0019	3.1792|0.0019	2.8065|0.0022	2.8065|0.0022	2.028|0.0014	1.964|0.0014	2.009|0.0038	2.028|0.0014	2.0581|0.0015	2.0175|0.0012	2.0175|0.0012	2|0.0012	2.028|0.0014	1.0529|0.0018	2.028|0.0014	1.9044|0.0031	2.0581|0.0015
MMRF_1763_1_BM_CD138pos_pair	2.0051|0.001	2.0051|0.001	2.0018|0.001	2.0018|0.001	2.005|0.001	2.005|0.001	1.9968|0.0011	1.9937|0.0013	3.1119|0.0018	2.0021|0.0032	2.0125|0.0018	2.0146|0.0014	2.0146|0.0014	2.0035|0.0013	2.0035|0.0013	3.111|0.0026	3.111|0.0026	0.9713|8e-04	3.1005|0.002	2.0133|0.0014	2.0133|0.0014	2.0099|0.0019	2.0118|0.002	2.0097|0.0012	2.0028|0.0013	3.1005|0.0013	3.0966|0.0018	1.9976|8e-04	1.9976|8e-04	3.0975|0.0012	3.0975|0.0012	2.0045|8e-04	2.0045|8e-04	3.0399|0.0021	0.9127|0.0012	0.9767|0.0017	2.0029|0.0011	3.0995|0.0026	3.107|0.0019	1.9968|0.001	1.9968|0.001	0.9663|8e-04	2.0054|0.0019	2.008|0.0017	0.9663|8e-04	1.9985|0.0012	1.9979|0.0011	1.9979|0.0011	2.0001|0.001	2.0135|0.005	1.9918|0.0011	2.0135|0.005	2.0096|0.0014	1.9985|0.0012
MMRF_1766_1_BM_CD138pos_pair	2.0037|0.001	2.0037|0.001	1.9982|0.0012	2.0066|0.0014	1.996|0.001	1.996|0.001	1.9808|0.0013	0.953|0.0012	3.1141|0.0019	2.0266|0.0021	2.7291|0.0023	2.0167|0.0013	2.0167|0.0013	1.9962|0.0016	1.9923|0.0018	3.1366|0.0027	3.1366|0.0027	1.9944|0.0015	2.0068|0.0011	2.0227|0.0014	2.0227|0.0014	3.0979|0.0029	2.0284|0.002	2.0039|0.0012	1.9925|0.0013	3.0723|0.0012	3.0723|0.0012	3.0103|0.0023	2.9888|0.0013	3.0745|0.0015	3.0901|0.0018	1.9955|8e-04	1.9955|8e-04	2.0002|0.0014	2.0009|0.0018	1.2787|0.0016	1.9821|0.0014	2.251|0.0019	3.1149|0.0049	2.0108|0.0017	1.9943|0.0012	1.9878|0.0011	2.0029|0.0011	2.7252|0.0023	1.9878|0.0011	0.949|0.0012	2.0066|0.0026	2.0066|0.0026	1.9997|0.001	2.0029|0.0011	1.9773|0.0011	1.9878|0.0011	2.0128|0.0013	2.0052|0.0024
MMRF_1768_1_BM_CD138pos_pair	1.9639|0.001	1.9639|0.001	3.0454|0.0015	3.0454|0.0015	3.1381|0.002	3.1446|0.0026	2.0271|0.0012	2.0887|0.0013	3.0004|0.0019	1.9664|0.0038	1.2954|0.0031	3.0395|0.0032	3.0085|0.0035	1.9866|0.0013	1.9866|0.0013	3.0088|0.0031	2.9943|0.0041	2.0036|0.0021	2.9883|0.0016	1.9767|0.0022	1.9811|0.0021	1.9686|0.002	2.0498|0.003	3.1287|0.0018	3.1269|0.0014	3.1084|0.0022	3.0092|0.0016	1.9768|0.0014	0.7942|0.0016	3.1303|0.0013	3.1303|0.0013	4.1909|0.0029	3.1798|0.0033	2.9741|0.0013	2.9741|0.0013	1.9809|0.001	1.9809|0.001	2.9933|0.0016	2.9933|0.0016	3.0644|0.0015	3.0644|0.0015	2.0127|0.0014	3.0073|0.0016	0.8808|0.0029	2.0127|0.0014	2.1077|0.0013	1.9999|0.001	1.9999|0.001	1.9829|0.001	2.0382|0.0022	2.0461|0.0012	2.0382|0.0022	3.0585|0.0032	2.1077|0.0013
