variable	NDMM	SMM	diff	med_timing_com	mean_timing_com	sd_com	min_com	max_com	first_q_com	third_q_com	n_com	med_timing_smm	mean_timing_smm	sd_smm	min_smm	max_smm	first_q_smm	third_q_smm	n_smm	pval	qval	timing_diff	lab	qval_signif
HyperDiploidy	0.6080283353010626	0.56	0.04802833530106254	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	20	NA	NA	0	HyperDiploidy	NA
del_chr_17q	0.09208972845336481	0.04923076923076923	0.04285895922259558	4.661289052658924	4.73633943999109	0.46098859692168054	4.100279295950687	5.727894552409394	4.3684993696036685	4.978537682363022	20	2.5623690006738444	2.5382575384001544	0.4878339227962318	1.3612154269526302	3.613554465635209	2.337599488709714	2.859202634668912	20	1.4508889103849688e-11	1.160711128307975e-9	2.09892005198508	del_17q	yes
del_chr_16q_CYLD	0.24557260920897284	0.20615384615384616	0.03941876305512668	1.4923601155523287	1.5024682241784526	0.2817268779243593	0.9589177635001425	2.1154563908917035	1.3049375559542609	1.677134905293041	20	1.6943975262959288	1.7288262232067935	0.38746454679920983	1.099419152185199	2.440735567489295	1.42741874289722	2.055700152970579	20	0.07626619026241796	1	-0.20203741074360004	del_16q_CYLD	no
del_chr_12q	0.08618654073199528	0.055384615384615386	0.03080192534737989	2.3002991378987447	2.2703245785119477	0.4186829197008134	1.5421907553296064	2.9232495302067942	1.8922936495844673	2.6425235128594333	20	4.157208291852324	4.265954392991324	0.6738191095652589	3.3853329732524613	6.0502693077381675	3.8145066360489266	4.7459246273101225	20	1.4508889103849688e-11	1.160711128307975e-9	-1.8569091539535796	del_12q	yes
del_chr_6q	0.20543093270365997	0.18769230769230769	0.017738625011352288	1.684470624354303	1.6868033053391862	0.263422491502559	1.1274796421849298	2.1202726804103964	1.5655344778542801	1.8183037975199214	20	1.895380580619872	1.9129327920507198	0.28680315298295644	1.3754023757993805	2.431424070834052	1.7289163943845538	2.1232293351885416	20	0.01953676183980387	1	-0.21090995626556897	del_6q	no
del_chr_4q	0.06611570247933884	0.04923076923076923	0.016884933248569614	2.537710868386604	2.5164631163787265	0.3917442302467259	1.944501898882004	3.114199933850271	2.1160673017796983	2.8700903413795436	20	2.5307894679016574	2.611155663730592	0.4139358843253919	1.9078832482747776	3.473517492782423	2.388766675492533	2.857753889814504	20	0.5648316368536903	1	0.006921400484946716	del_4q	no
del_chr_13q	0.5112160566706021	0.5046153846153846	0.006600672055217527	0.8401492469412908	0.9527421692036055	0.3397371785635567	0.37998835182665985	1.7556592376286986	0.7223201266586329	1.1642976021505558	20	0.8563334377997767	0.863520894808424	0.4085515474323518	0.22188770787562254	1.8789334965042213	0.537214192505494	1.125744328603796	20	0.383413281904359	1	-0.01618419085848588	del_13q	no
del_chr_20p	0.10743801652892562	0.10153846153846154	0.005899554990464087	2.1813913704422045	2.1832745113547793	0.39921767193270413	1.5220194240885334	2.9138600108373636	1.8962205181382448	2.4148003185008027	20	2.5438885674989002	2.4711232301367874	0.43337096931732766	1.7636678748261865	3.1712227327067315	2.1259999041955244	2.807307692044639	20	0.042984632900965054	1	-0.3624971970566957	del_20p	no
amp_chr_9q	0.12129380053908356	0.12337662337662338	-0.0020828228375398133	2.5875171067157416	2.6190928927151846	0.38729814376450733	1.9719550994166664	3.227568235622384	2.3333431296759883	2.965878209706081	20	2.9347390494349375	3.029898245757068	0.5099836246231261	2.3131946405598436	4.004888974837061	2.6606933671817505	3.34282632729413	20	0.011206767288403889	0.8965413830723111	-0.3472219427191958	amp_9q	no
amp_chr_2p	0.09917355371900827	0.10153846153846154	-0.0023649078194532686	2.6760332888295455	2.652245733609142	0.31064935785798237	2.1171090305605493	3.3228465308070194	2.4802555007567495	2.8485691671739306	20	2.0269860893918468	2.150098565076936	0.4973672878796732	1.3371465836142724	3.123960500492887	1.8174274777411947	2.6105575753754446	20	8.357657823247608e-4	0.06686126258598087	0.6490471994376987	amp_2p	no
del_chr_4p_NSD2	0.06257378984651712	0.06769230769230769	-0.005118517845790566	2.811029987892693	2.775581487885716	0.43165205501630116	2.0104732940312475	3.812513610380462	2.497830496106057	2.988468177768706	20	2.0758175171067084	1.9935101249948155	0.41789841677057044	1.2928889224974989	2.660766291295692	1.6599330454549694	2.3511009206501954	20	1.3670710580320291e-6	1.0936568464256234e-4	0.7352124707859846	del_4p_NSD2	yes
del_chr_22q_XBP1	0.1641086186540732	0.16923076923076924	-0.005122150576696044	1.826723455080474	1.7737725960003097	0.30354450644679387	1.1395873699651506	2.442944649794788	1.4971200592658154	1.8998250651930468	20	1.887489993632071	1.855194542420195	0.4433879414318058	1.1633408369335483	2.9300639216497526	1.5722905416756818	2.129545267679203	20	0.5831142281933015	1	-0.06076653855159697	del_22q_XBP1	no
amp_chr_10q	0.0590318772136954	0.06461538461538462	-0.005583507401689218	2.562544315630082	2.5800397520922975	0.3424597105487327	1.9614554102469108	3.1190628894067265	2.3351065339667834	2.820708634323303	20	2.2551270498284373	2.2885843154931704	0.5313138550035424	1.278144980210794	3.096881918740887	1.9199686398256806	2.86186804909865	20	0.05956383156170359	1	0.30741726580164475	amp_10q	no
