cna	estimate	SE	quasiSE	quasiVar	CNA_type	timing	no_call	calls	observ
amp_chr_19p	-2.153727533226906	0.2719647889079342	0.24213537682400868	0.058629540709704685	Amp	2.153727533226906	90	9	99
amp_chr_19q	-1.8213753742526357	0.60659318767312	0.5943701863263707	0.35327591839364464	Amp	1.8213753742526357	95	4	99
amp_chr_1p	-4.8387049162763756	0.247455349374297	0.2141045973721363	0.04584077861588459	Amp	4.8387049162763756	151	13	164
amp_chr_1q_MCL1	-1.7011402653317116	0.1521315731849044	0.09526379209718076	0.00907519008473488	Amp	1.7011402653317116	115	49	164
amp_chr_20p	-3.995128569827068	0.24497627872869746	0.21188770269956456	0.044896398555299054	Amp	3.995128569827068	158	6	164
amp_chr_20q	-3.751940510326544	0.21258323247036334	0.17358590926497977	0.03013206789534979	Amp	3.751940510326544	154	10	164
amp_chr_21q	-2.245795781311271	0.5143363274134678	0.49908006546929423	0.24908091174883504	Amp	2.245795781311271	128	2	130
amp_chr_22q	-4.063208185291931	0.1925447519253852	0.14774912467091428	0.021829803841021372	Amp	4.063208185291931	149	15	164
amp_chr_2p	-1.763328981129574	0.2157304730980713	0.18151763861566117	0.032948653128605766	Amp	1.763328981129574	151	13	164
amp_chr_2q	-1.7835187072868834	0.22187397128739195	0.18965587035654424	0.03596934916069831	Amp	1.7835187072868834	153	11	164
amp_chr_3p	-2.23054904433755	0.6057198858807004	0.5930057180137308	0.3516557815969804	Amp	2.23054904433755	114	1	115
amp_chr_3q_TERC	-1.5605038128072628	0.3939389980572343	0.373871050252948	0.13977956221724236	Amp	1.5605038128072628	113	6	119
amp_chr_4p	-2.2584750925076342	0.17181092116960475	0.12455570943526721	0.015514124752922714	Amp	2.2584750925076342	135	29	164
amp_chr_4q	-2.6326713588967414	0.1628475099394362	0.10998481230085495	0.012096658936854295	Amp	2.6326713588967414	131	33	164
amp_chr_5p	-1.7768342159696506	0.5219120176423196	0.5068924207754915	0.25693992623963785	Amp	1.7768342159696506	107	2	109
amp_chr_6p	-1.4801044304306596	0.16537441566520283	0.1203767874284574	0.014490570951596018	Amp	1.4801044304306596	131	33	164
amp_chr_6q	-3.8054469032578915	0.18454754971980647	0.13822450629585717	0.01910601414073346	Amp	3.8054469032578915	137	27	164
amp_chr_7q	-3.9518774318559453	1.8216846667965576	1.813447744424047	3.288592721756664	Amp	3.9518774318559453	118	2	120
amp_chr_8p	-6.149102009192164	0.7353619839670152	0.723604378349122	0.5236032963660192	Amp	6.149102009192164	158	6	164
amp_chr_8q_MYC_amp	-3.676073686827708	0.28515977262790243	0.2595283297623604	0.06735495394924047	Amp	3.676073686827708	154	10	164
amp_chr_9p	-2.8766693442062086	0.30114082214092225	0.2748745802620195	0.0755560348742214	Amp	2.8766693442062086	88	10	98
amp_chr_9q	-3.197804561989672	0.22006385707492418	0.182239205890496	0.03321112816359859	Amp	3.197804561989672	73	22	95
del_chr_10p	-0.3871250175548746	0.5393722673805554	0.5248396187204464	0.2754566253786235	Del	0.3871250175548746	161	3	164
del_chr_10q	-2.6020363695819966	0.307519260820025	0.28176109467347155	0.079389314471593	Del	2.6020363695819966	161	3	164
del_chr_11p	-9.057922353161391	1.4195253548369962	1.413403900567283	1.9977105861388098	Del	9.057922353161391	155	9	164
del_chr_11q_BIRC2	-4.844855965737463	0.2751040295836309	0.24516490398351684	0.060105830145247036	Del	4.844855965737463	154	10	164
del_chr_12p	-5.049151072429404	0.25744688961464773	0.22640784609141557	0.05126051277175412	Del	5.049151072429404	149	15	164
del_chr_12q	-4.395907041177245	0.2069171252278729	0.16704585414935277	0.027904317388486838	Del	4.395907041177245	144	20	164
del_chr_13q	-0.7534744163474607	0.1478345789797664	0.0981643068409308	0.009636231137560415	Del	0.7534744163474607	81	83	164
del_chr_14q_MAX	-0.8124703305289139	0.21704328986101182	0.18024832132937119	0.03248945734205625	Del	0.8124703305289139	142	22	164
del_chr_15q	-4.237163327317887	0.3525170426712041	0.3297534515687212	0.10873733882148497	Del	4.237163327317887	158	6	164
del_chr_16p	-1.7189919260945625	0.2051601946085452	0.16714509689618856	0.027937483416436263	Del	1.7189919260945625	152	12	164
del_chr_16q_CYLD	-1.9111745064573062	0.16266953755328606	0.10834087646675819	0.011737745513585359	Del	1.9111745064573062	136	28	164
del_chr_17p	-1.8033327404803121	0.28734899153101495	0.263595153516251	0.06948240495725594	Del	1.8033327404803121	157	7	164
