sample	KRAS	NRAS	IGLL5	TENT5C	DIS3	TRAF3	BRAF	DUSP2	TP53	FGFR3	ATM	DNAH5	EGR1	HIST1H1E	CYLD	MAX
MMRF_1512_1_BM_CD138pos	0.268|0.194|0.365	0	0	0	0	0	0	0	0	0	0	0	1|1|1	0	0	0
MMRF_1516_1_BM_CD138pos	0	0.804|0.609|1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1519_1_BM_CD138pos	0	0.599|0.399|0.869	0	0	0.464|0.265|0.68	0	0	0	0	0	0	0	0	0	0	0
MMRF_1522_1_BM_CD138pos	0	0.558|0.378|0.793	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1523_1_BM_CD138pos	0	0.887|0.795|0.982	0	0	0	0	0	0	0	0	0	0	0	0.818|0.596|1	0	0
MMRF_1525_1_BM_CD138pos	0.179|0.073|0.428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1531_1_BM_CD138pos	0.116|0.075|0.178	0.772|0.621|0.936	1|1|1	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1534_1_BM_CD138pos	0	0	0	0	0	1|0.893|1	0	0	0	0	0	0	0	0	0	0
MMRF_1537_1_BM_CD138pos	0	0.888|0.652|1	0	0	0	0	0	0	0	0	0	0	0	0	0.173|0.063|0.472	0
MMRF_1538_1_BM_CD138pos	0	1|1|1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1539_1_BM_CD138pos	0	1|0.971|1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1541_1_BM_CD138pos	0	0	0	0	0.34|0.214|0.526	0	0.278|0.101|0.709	0	0	0	0.262|0.136|0.495	0	0	0	0.658|0.5|0.837	0
MMRF_1543_1_BM_CD138pos	0	0.751|0.649|0.864	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1546_1_BM_CD138pos	0	1|0.901|1	0.937|0.543|1	1|0.926|1	0	0	0	0	0	0	0	0	1|1|1	0	0	0
MMRF_1547_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1550_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1555_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1560_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	1|0.913|1	0.941|0.789|1	0	0	0	0	0
MMRF_1564_1_BM_CD138pos	0	1|1|1	0	1|1|1	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1565_1_BM_CD138pos	0.931|0.704|1	0	0	0	0.256|0.143|0.442	0	0	0	0	0	0	0	0	0	0	0
MMRF_1570_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1572_1_BM_CD138pos	0	0	0	0	0.209|0.128|0.328	0.639|0.479|0.804	0	0	0	0	0	0	0	0	0	0.426|0.272|0.619
MMRF_1573_1_BM_CD138pos	0.366|0.255|0.514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1574_1_BM_CD138pos	0.238|0.113|0.476	0	0	0.179|0.093|0.335	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1576_1_BM_CD138pos	0	0	0	0	0	0	0.693|0.443|1	0	0	0	0	0	0	0	0	0
MMRF_1577_1_BM_CD138pos	0	1|0.782|1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1579_1_BM_CD138pos	0.732|0.611|0.867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1583_1_BM_CD138pos	0	0.95|0.861|1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1587_1_BM_CD138pos	0.747|0.65|0.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1588_1_BM_CD138pos	0.117|0.063|0.216	0.185|0.092|0.361	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1589_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1593_1_BM_CD138pos	0.093|0.058|0.147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1595_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1|0.797|1
MMRF_1596_1_BM_CD138pos	0	0	0	0	0	0	0	0	0.571|0.472|0.667	0	0	0	0	0	0	0
MMRF_1597_1_BM_CD138pos	0	0	0	0.265|0.164|0.405	0	0	0	0	0	0	0	0	0	0	0.42|0.325|0.526	0
MMRF_1602_1_BM_CD138pos	0.297|0.213|0.409	0	0	0	0	0	0	0	0	0	0.571|0.387|0.802	0	0	0	0	0
MMRF_1603_1_BM_CD138pos	0.743|0.607|0.893	0.179|0.093|0.335	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1605_1_BM_CD138pos	0	0	0	0	0	0.194|0.112|0.323	0	0	0	0	0	0	0	0	0	0
MMRF_1607_1_BM_CD138pos	0.82|0.542|1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1608_1_BM_CD138pos	0	0	1|0.784|1	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1610_1_BM_CD138pos	0.26|0.166|0.399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1613_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1614_1_BM_CD138pos	0.234|0.111|0.472	0.32|0.207|0.482	0.644|0.312|1	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1618_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
